instance,profile,method,rule,objective,capital_cost,running_cost,hub_cost,uav_inv_cost,ugv_inv_cost,uav_trav_cost,ugv_trav_cost,num_active_hubs,num_uav_routes,num_ugv_routes,served,unserved,valid,runtime_sec,profile_policy,validation_message
instance_20260104,emergency,priority_nearest,nearest,2900.061871466254,0.0,2900.061871466254,0.0,0.0,0.0,831.3587427769712,2068.703128689283,1,5,2,52,0,True,0.014337700000000009,capital costs excluded; Eq. (1) retains UAV/UGV running costs only,All checks passed.
instance_20260104,emergency,priority_edd,edd,2812.8540828030073,0.0,2812.8540828030073,0.0,0.0,0.0,769.7766136823807,2043.0774691206268,1,3,2,52,0,True,0.016136699999999893,capital costs excluded; Eq. (1) retains UAV/UGV running costs only,All checks passed.
instance_20260104,emergency,priority_min_slack,min_slack,2491.096315535634,0.0,2491.096315535634,0.0,0.0,0.0,677.4034200404949,1813.692895495139,1,2,2,52,0,True,0.011992900000000084,capital costs excluded; Eq. (1) retains UAV/UGV running costs only,All checks passed.
instance_20260105,commercial,priority_nearest,nearest,3800.207887718845,950.0,2850.207887718845,50.0,720.0,180.0,769.7766136823807,2080.4312740364644,1,4,2,58,0,True,0.015284400000000087,retain amortized hub/UAV/UGV capital costs plus running costs,All checks passed.
instance_20260105,commercial,priority_edd,edd,3660.3679309620197,950.0,2710.3679309620197,50.0,720.0,180.0,738.9855491350854,1971.3823818269343,1,4,2,58,0,True,0.02120079999999991,retain amortized hub/UAV/UGV capital costs plus running costs,All checks passed.
instance_20260105,commercial,priority_min_slack,min_slack,3841.2052850296122,1310.0,2531.2052850296122,50.0,1080.0,180.0,708.1944845877902,1823.0108004418219,1,6,2,58,0,True,0.01427899999999993,retain amortized hub/UAV/UGV capital costs plus running costs,All checks passed.
instance_20260105,emergency,priority_nearest,nearest,2850.207887718845,0.0,2850.207887718845,0.0,0.0,0.0,769.7766136823807,2080.4312740364644,1,4,2,58,0,True,0.01540190000000008,capital costs excluded; Eq. (1) retains UAV/UGV running costs only,All checks passed.
instance_20260105,emergency,priority_edd,edd,2710.3679309620197,0.0,2710.3679309620197,0.0,0.0,0.0,738.9855491350854,1971.3823818269343,1,4,2,58,0,True,0.021307500000000035,capital costs excluded; Eq. (1) retains UAV/UGV running costs only,All checks passed.
instance_20260105,emergency,priority_min_slack,min_slack,2531.2052850296122,0.0,2531.2052850296122,0.0,0.0,0.0,708.1944845877902,1823.0108004418219,1,6,2,58,0,True,0.014227800000000013,capital costs excluded; Eq. (1) retains UAV/UGV running costs only,All checks passed.
instance_20260106,commercial,priority_nearest,nearest,3942.970568945243,1130.0,2812.970568945243,50.0,900.0,180.0,923.731936418857,1889.2386325263858,1,5,2,54,0,True,0.014125100000000002,retain amortized hub/UAV/UGV capital costs plus running costs,All checks passed.
