instance,profile,method,seed,n_iter,initial_objective,objective,improvement_pct,capital_cost,running_cost,hub_cost,uav_inv_cost,ugv_inv_cost,uav_trav_cost,ugv_trav_cost,num_active_hubs,num_uav_routes,num_ugv_routes,served,unserved,feasible,valid,selected_q,time_to_best_iter,runtime_sec,wall_sec,profile_policy,cost_coefficients
instance_20260101,emergency,baseline,2024,500,2916.1454,2786.580917,4.443005,0.0,2786.580917,0.0,0.0,0.0,915.677151,1870.903766,3,4,4,56,0,True,True,,449,121.305991,121.386001,capital costs excluded; Eq. (1) retains UAV/UGV running costs only,"{'cost_H': 0.0, 'cost_D_inv': 0.0, 'cost_K_inv': 0.0, 'cost_D_trav': 7.0, 'cost_K_trav': 4.0}"
instance_20260101,emergency,baseline,99,500,2916.1454,2685.539263,7.907909,0.0,2685.539263,0.0,0.0,0.0,911.916538,1773.622725,3,3,4,56,0,True,True,,481,136.156696,136.260662,capital costs excluded; Eq. (1) retains UAV/UGV running costs only,"{'cost_H': 0.0, 'cost_D_inv': 0.0, 'cost_K_inv': 0.0, 'cost_D_trav': 7.0, 'cost_K_trav': 4.0}"
instance_20260101,emergency,s_alns,42,500,2366.705732,2283.063483,3.534121,0.0,2283.063483,0.0,0.0,0.0,913.299466,1369.764018,7,7,10,56,0,True,True,8.0,263,205.809174,205.98277,capital costs excluded; Eq. (1) retains UAV/UGV running costs only,"{'cost_H': 0.0, 'cost_D_inv': 0.0, 'cost_K_inv': 0.0, 'cost_D_trav': 7.0, 'cost_K_trav': 4.0}"
instance_20260101,emergency,s_alns,7,500,2366.705732,2128.92489,10.046912,0.0,2128.92489,0.0,0.0,0.0,886.269015,1242.655876,7,6,9,56,0,True,True,8.0,469,222.938555,223.165807,capital costs excluded; Eq. (1) retains UAV/UGV running costs only,"{'cost_H': 0.0, 'cost_D_inv': 0.0, 'cost_K_inv': 0.0, 'cost_D_trav': 7.0, 'cost_K_trav': 4.0}"
instance_20260101,emergency,s_alns,123,500,2366.705732,2189.478073,7.488369,0.0,2189.478073,0.0,0.0,0.0,854.000118,1335.477955,7,7,8,56,0,True,True,8.0,496,203.636215,203.7987,capital costs excluded; Eq. (1) retains UAV/UGV running costs only,"{'cost_H': 0.0, 'cost_D_inv': 0.0, 'cost_K_inv': 0.0, 'cost_D_trav': 7.0, 'cost_K_trav': 4.0}"
instance_20260101,emergency,s_alns,2024,500,2366.705732,2092.54902,11.583895,0.0,2092.54902,0.0,0.0,0.0,858.215005,1234.334015,7,6,9,56,0,True,True,8.0,485,184.67833,184.901161,capital costs excluded; Eq. (1) retains UAV/UGV running costs only,"{'cost_H': 0.0, 'cost_D_inv': 0.0, 'cost_K_inv': 0.0, 'cost_D_trav': 7.0, 'cost_K_trav': 4.0}"
instance_20260101,emergency,s_alns,99,500,2366.705732,2020.539989,14.62648,0.0,2020.539989,0.0,0.0,0.0,856.431845,1164.108144,6,7,9,56,0,True,True,8.0,429,209.168076,209.339632,capital costs excluded; Eq. (1) retains UAV/UGV running costs only,"{'cost_H': 0.0, 'cost_D_inv': 0.0, 'cost_K_inv': 0.0, 'cost_D_trav': 7.0, 'cost_K_trav': 4.0}"
instance_20260102,commercial,baseline,42,500,2821.141909,2815.673653,0.193831,590.0,2225.673653,50.0,360.0,180.0,769.776614,1455.897039,1,2,2,51,0,True,True,,13,113.140636,113.212538,retain amortized hub/UAV/UGV capital costs plus running costs,"{'cost_H': 50.0, 'cost_D_inv': 180.0, 'cost_K_inv': 90.0, 'cost_D_trav': 7.0, 'cost_K_trav': 4.0}"
instance_20260102,commercial,baseline,7,500,2821.141909,2759.028514,2.201711,590.0,2169.028514,50.0,360.0,180.0,738.985549,1430.042965,1,2,2,51,0,True,True,,300,117.090733,117.164425,retain amortized hub/UAV/UGV capital costs plus running costs,"{'cost_H': 50.0, 'cost_D_inv': 180.0, 'cost_K_inv': 90.0, 'cost_D_trav': 7.0, 'cost_K_trav': 4.0}"
instance_20260102,commercial,baseline,123,500,2821.141909,2815.673653,0.193831,590.0,2225.673653,50.0,360.0,180.0,769.776614,1455.897039,1,2,2,51,0,True,True,,429,128.088056,128.205925,retain amortized hub/UAV/UGV capital costs plus running costs,"{'cost_H': 50.0, 'cost_D_inv': 180.0, 'cost_K_inv': 90.0, 'cost_D_trav': 7.0, 'cost_K_trav': 4.0}"
